Time,Name of Show,Number of Runs
02:20,Grey's Anatomy,100
18:35,The Big Bang Theory,100
17:45,How I Met Your Mother,100
15:00,Malcolm mittendrin,100
17:05,Die Simpsons,100
14:55,Melissa & Joey,100
19:20,Two and a Half Men,100
14:10,Gossip Girl,100
00:55,Navy CIS,100
04:45,The Mentalist,94
14:35,Mike & Molly,77
19:55,Wetter,74
06:50,Garfield,74
05:25,New Girl,73
05:00,CSI Miami,72
01:35,Desperate Housewives,72
05:55,Seitenblicke,71
13:55,90210,70
13:35,Die Nanny,70
21:55,Navy CIS: L.A.,64
23:45,Hawaii Five-0,57
03:00,Private Practice,56
10:05,Kung Fu Panda,53
22:10,Revenge,49
12:05,Gilmore Girls,49
02:10,Criminal Intent - Verbrechen im Visier,44
16:15,Happy Endings,44
08:15,Anna und die Liebe,41
07:00,Der kleine Ritter Trenk,40
15:25,Suburgatory,39
03:10,The Closer,39
00:55,Flashpoint - Das Spezialkommando,39
12:40,The Middle,36
16:40,ZIB Flash,35
07:00,Die Biene Maja,33
06:50,Das Dschungelbuch,31
13:10,Zurück in die Zukunft II,25
19:48,Sport Aktuell,25
04:10,Rom,24
07:45,Lucky Fred,24
16:45,Scrubs - Die Anfänger,22
14:05,Last Man Standing,22
18:40,Newton,21
07:30,Disneys Duck Tales - Neues aus Entenhausen,20
19:05,Shit! My Dad Says,17
12:00,Sport-Bild,17
00:05,Rookie Blue,17
08:00,Mascha und der Bär,17
20:00,ZIB 20,16
12:45,Drop Dead Diva,15
23:55,Hot in cleveland,14
06:00,Kung Fu Panda,13
07:25,Hallo okidoki,12
04:30,Blue Bloods - Crime Scene New York,12
13:30,Die Nanny,11
06:45,Kasperlüberraschung,10
23:45,ZIB 24,10
06:35,"Horseland, die Pferderanch",10
10:10,Beste FReinde,10
07:25,Rätselburg,10
07:55,Alles okidoki,10
00:40,FIS Freestyle Ski & Snowboard WM Kreischberg 2015,10
09:25,"1, 2 oder 3",9
15:00,Gary Unmarried,8
19:45,ZIB Magazin,8
20:15,Resurrection - Die unheimliche Wiederkehr,8
00:15,Franklin & Bash,7
07:00,Servus Kasperl,6
20:15,Soko Donau,6
13:15,The Secret Life of the American Teenager,6
09:50,Die wilden Kerle,6
22:50,Trophy Wife,6
00:35,FlashForward,5
08:00,ABC Bär,5
13:20,FIS Weltcup Nordische Kombination Seefeld,5
07:55,Helmi-Kinder-Verkehrs-Club,4
14:25,My Boys,4
10:00,Kein Keks für Kobolde,4
23:05,Science Busters - Wer nichts weiß muss alles glauben,4
16:35,Mom,4
21:50,CSI: Vegas,4
07:25,Die Tofus,4
06:00,Coop gegen Kat,4
07:00,Hexe Lilli,3
10:30,Disneys Fillmore,3
10:50,Lenas Ranch,3
10:15,Ski: FIS Weltcup Abfahrt der Damen Cortina d'Ampezzo,3
11:15,Disneys Jessie,3
18:00,Sport am Sonntag,3
08:15,Franz Ferdinand,3
12:05,Ski: FIS Weltcup Abfahrt der Herren Wengen,3
22:05,Guess Who - Meine Tochter kriegst du nicht,3
10:50,Disneys Liv & Maddie,3
06:25,Nils Holgersson,3
22:00,Was gibt es Neues?,3
22:00,The Expendables,2
20:15,Wickie und die starken Männer,2
16:15,Echt Fett,2
15:20,Der Cop und der Snob,2
20:15,Vorstadtweiber,2
15:15,Alarm für Cobra 11 - Einsatz für Team 2,2
09:15,Knall genial,2
12:45,Life Unexpected - Plötzlich Familie,2
23:35,Reiseckers Reisen,2
14:25,Biathlon Weltcup Ruhpolding,2
06:25,1001 Nacht,2
12:15,Jamies 30 Minuten Menüs Genial geplant - blitzschnell gekocht,2
08:25,Tom Turbo - Detektivclub,2
16:50,FIS Weltcup Skispringen Team Zakopane HS 134,2
20:15,Friends with Kids - Küssen verboten!,2
09:00,Schmatzo - Der Koch-Kids-Club,2
09:50,Miniversum,2
23:45,Die Super-Ex,2
