Time,Name of Show,Number of Runs
10:00,nano,100
13:45,Tagesschau,100
13:05,In aller Freundschaft,100
18:05,Meteo,100
10:30,Kulturzeit,70
22:10,sportaktuell,61
23:20,NZZ Format,58
17:40,Telesguard,58
20:50,Rundschau,52
19:00,Schweiz aktuell,52
21:05,PULS,48
19:25,SRF Börse,40
21:50,10vor10,40
18:40,glanz & gloria,40
22:25,ECO,25
18:15,"Mini Beiz, dini Beiz",25
22:25,Kulturplatz,23
16:20,Minuscule,22
21:05,Kassensturz,21
21:00,Einstein,21
00:00,Tagesschau Nacht,19
15:20,Reporter,19
17:50,Guetnachtgschichtli,17
17:15,Cuntrasts,17
08:00,Wetterkanal,16
22:55,Schawinski,16
16:55,Best Friends,16
06:30,News-Schlagzeilen und Meteo,15
18:10,gesundheitheute,15
20:05,SRF bi de Lüt,15
10:30,Der Wilde Wald der Kaiserin,13
19:20,mitenand,12
17:45,Minisguard,10
18:59,Tagesschau-Schlagzeilen,10
22:25,Aeschbacher,9
22:25,Arena,9
21:00,Auf und davon,8
01:15,American Graffiti,8
20:05,Der Bestatter,8
13:05,NZZ Standpunkte,7
18:10,Tierische Freunde,7
20:05,Die Millionen-Falle,6
18:45,Samschtig-Jass,6
13:05,BaslerZeitung Standpunkte,6
22:25,Club,5
16:55,myZambo,5
19:20,Ziehung des Schweizer Zahlenlottos,5
20:05,Top Secret,4
03:35,nachtwach,4
23:40,House of Cards,4
16:55,Tschanz mit allem,3
20:00,Wort zum Sonntag,3
00:45,BekanntMachung,3
16:55,Rosanna checkt's!,3
18:50,g&g weekend spezial,3
16:55,myStory,2
14:00,Kommissar Rex,2
16:35,Schätze der Welt,2
18:45,Potzmusig,2
13:05,Handelszeitung Standpunkte,2
00:30,Beginners - So fühlt sich Liebe an,2
22:45,Sherlock - Sein letzter Schwur,2
14:55,Rosamunde Pilcher - Vier Jahreszeiten: Ein Sommer in Endellion,2
